skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,mapping_margin,domain_source,future_weight
develop technical content,1,1.0,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.49138317,0.49138317,0.42493945,0.06644371,McKinsey_FutureOfWork_2023,0.1965532660484314
translate requirements into clear,1,0.663,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20689797,0.20689797,0.20338635,0.0035116225,WEF_FutureOfJobs_2023,0.1965530753135681
growth -focused environment,1,0.587,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.32758668,0.32758668,0.30334994,0.024236739,WEF_FutureOfJobs_2023,0.19655200839042664
produce electrical designs,1,0.678,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.357362,0.357362,0.2826907,0.0746713,ONET_BrightOutlook_2024,0.19654910117387772
collaboration,13,0.4736153846153846,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4913612,0.4913612,0.4365575,0.0548037,McKinsey_FutureOfWork_2023,0.19654448032379152
create centralized data platform,1,0.716,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.39308724,0.39308724,0.37864846,0.014438778,ONET_BrightOutlook_2024,0.1965436190366745
innovate with technology,1,0.611,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35730356,0.35730356,0.33672842,0.020575136,ONET_BrightOutlook_2024,0.19651695787906648
innovate in engineering,1,0.748,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35730255,0.35730255,0.27995077,0.07735178,ONET_BrightOutlook_2024,0.19651640057563782
build retail applications,1,0.677,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3572777,0.3572777,0.30071515,0.056562543,ONET_BrightOutlook_2024,0.1965027302503586
develop SAP UI applications,1,0.67,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3572705,0.3572705,0.33881733,0.01845318,ONET_BrightOutlook_2024,0.1964987799525261
foster cross team collaboration,1,0.702,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.49121296,0.49121296,0.3824541,0.10875887,McKinsey_FutureOfWork_2023,0.19648518562316897
collaborate effectively across multidisciplinary teams,1,1.0,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.49115506,0.49115506,0.3866138,0.10454127,McKinsey_FutureOfWork_2023,0.19646202325820925
influence digital policy,1,0.801,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.28063536,0.28063536,0.21430822,0.06632714,WEF_FutureOfJobs_2023,0.19644474983215332
program systems application software,1,0.788,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.39288127,0.39288127,0.33275583,0.06012544,ONET_BrightOutlook_2024,0.19644063711166382
sociable,1,0.462,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20675313,0.20675313,0.1584969,0.048256233,WEF_FutureOfJobs_2023,0.19641547799110412
team player,12,0.6375000000000001,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20674342,0.20674342,0.20015062,0.0065927953,WEF_FutureOfJobs_2023,0.19640624821186065
build CLIs,1,0.709,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.23104294,0.23104294,0.21947877,0.011564165,WEF_FutureOfJobs_2023,0.19638649597764016
ensure secure post-migration operations,1,0.753,WEF03,Cybersecurity,Strong_Growth,0.9,0.2181965,0.2181965,0.1849173,0.033279195,WEF_FutureOfJobs_2023,0.19637684673070907
develop application components,1,0.713,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35699278,0.35699278,0.33988804,0.017104745,ONET_BrightOutlook_2024,0.1963460296392441
simulation experiences,1,0.488,ONET04,Game Development & Interactive Media,Moderate_Growth,0.6,0.32723722,0.32723722,0.3123021,0.014935106,ONET_BrightOutlook_2024,0.19634233117103575
work within a team of developers,1,1.0,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4908527,0.4908527,0.36516565,0.12568706,McKinsey_FutureOfWork_2023,0.19634108543395998
govern global technology strategy,1,0.622,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.32719955,0.32719955,0.28855923,0.03864032,WEF_FutureOfJobs_2023,0.19631972908973694
drive containment efforts,1,0.602,WEF03,Cybersecurity,Strong_Growth,0.9,0.21811609,0.21811609,0.21422547,0.0038906187,WEF_FutureOfJobs_2023,0.1963044807314873
creating a,1,0.37,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20662178,0.20662178,0.20335548,0.0032663047,WEF_FutureOfJobs_2023,0.19629069194197654
collaborate with other design disciplines,1,0.709,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.49072304,0.49072304,0.47450227,0.016220778,McKinsey_FutureOfWork_2023,0.19628921747207642
identifying strategic business opportunities,1,0.555,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.28038642,0.28038642,0.23582722,0.044559196,WEF_FutureOfJobs_2023,0.1962704926729202
resource allocation.,1,0.485,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.23087744,0.23087744,0.22616743,0.0047100186,WEF_FutureOfJobs_2023,0.1962458275258541
evaluate agent performance,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20654882,0.20654882,0.1493544,0.057194427,WEF_FutureOfJobs_2023,0.1962213836610317
collaborate with a creative team,1,0.789,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.49045405,0.49045405,0.44049373,0.049960315,McKinsey_FutureOfWork_2023,0.1961816191673279
communicate with technical audiences,1,0.614,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4903919,0.4903919,0.40153718,0.08885473,McKinsey_FutureOfWork_2023,0.19615676403045657
deliver all phases of production,1,0.93,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.2307578,0.2307578,0.21816394,0.012593865,WEF_FutureOfJobs_2023,0.19614413231611252
investigate fraud threats,1,0.722,WEF03,Cybersecurity,Strong_Growth,0.9,0.21791884,0.21791884,0.12080493,0.097113915,WEF_FutureOfJobs_2023,0.19612695872783661
support the goals of Property and Ground Transport businesses,1,0.674,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.2307299,0.2307299,0.20002773,0.030702159,WEF_FutureOfJobs_2023,0.19612040892243385
apply models to immunisation policy questions,1,0.637,WEF03,Cybersecurity,Strong_Growth,0.9,0.21788824,0.21788824,0.124655075,0.09323316,WEF_FutureOfJobs_2023,0.19609941244125367
build mutually beneficial relationships,1,0.673,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20639572,0.20639572,0.17700744,0.029388279,WEF_FutureOfJobs_2023,0.19607592970132826
build Python applications,1,0.725,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.23065634,0.23065634,0.22334626,0.0073100775,WEF_FutureOfJobs_2023,0.19605788961052895
identify data quality issues,1,0.948,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.21784148,0.21784148,0.20180215,0.016039327,WEF_FutureOfJobs_2023,0.19605732858181
implement containerisation,1,0.686,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.23063563,0.23063563,0.14164065,0.08899498,WEF_FutureOfJobs_2023,0.19604028388857841
refine loss forecasting methodologies,1,1.0,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.19601336,0.19601336,0.1725736,0.023439765,WEF_FutureOfJobs_2023,0.19601336121559143
make real decisions,1,0.632,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20632717,0.20632717,0.13196199,0.07436518,WEF_FutureOfJobs_2023,0.19601081162691114
spearhead innovative design solutions,1,1.0,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3563678,0.3563678,0.35137123,0.004996568,ONET_BrightOutlook_2024,0.1960022881627083
synthesize arguments from complex texts,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20627606,0.20627606,0.16337132,0.042904735,WEF_FutureOfJobs_2023,0.195962256193161
define technology requirements,1,1.0,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3562933,0.3562933,0.34561998,0.010673314,ONET_BrightOutlook_2024,0.1959613099694252
collaborate with consulting teams,1,1.0,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48990068,0.48990068,0.36289895,0.12700173,McKinsey_FutureOfWork_2023,0.19596027135849
foster collaboration across teams,1,1.0,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48983815,0.48983815,0.38074392,0.10909423,McKinsey_FutureOfWork_2023,0.19593526124954225
hire great people,2,0.629,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20620479,0.20620479,0.18973553,0.016469255,WEF_FutureOfJobs_2023,0.19589454755187033
develop project specifications,1,0.786,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35610166,0.35610166,0.31164494,0.04445672,ONET_BrightOutlook_2024,0.19585591405630112
enhance tools and processes,1,0.67,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.39169237,0.39169237,0.3459563,0.045736074,McKinsey_FutureOfWork_2023,0.19584618508815765
collaborate with multi-disciplinary teams,2,0.675,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4896131,0.4896131,0.40989476,0.07971832,McKinsey_FutureOfWork_2023,0.1958452343940735
assess risks,1,0.739,WEF03,Cybersecurity,Strong_Growth,0.9,0.21758406,0.21758406,0.13840592,0.07917814,WEF_FutureOfJobs_2023,0.19582565277814865
"collaborate with engineers, product managers, executives, and designers",1,0.613,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48946467,0.48946467,0.43082616,0.058638513,McKinsey_FutureOfWork_2023,0.19578586816787721
apply strategic B2B marketing,1,0.636,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.27968407,0.27968407,0.18351255,0.09617151,WEF_FutureOfJobs_2023,0.19577884674072266
communicate technical concepts,4,0.66525,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4893778,0.4893778,0.33713278,0.15224501,McKinsey_FutureOfWork_2023,0.19575111865997316
make sound technical choices,1,0.501,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35585248,0.35585248,0.33518696,0.020665526,ONET_BrightOutlook_2024,0.1957188665866852
behavior,1,0.511,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20601349,0.20601349,0.18416676,0.021846727,WEF_FutureOfJobs_2023,0.19571281149983405
update databases,1,0.628,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.39140773,0.39140773,0.26700187,0.12440586,ONET_BrightOutlook_2024,0.19570386409759521
use data-driven design,1,0.691,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35579944,0.35579944,0.3246504,0.03114903,ONET_BrightOutlook_2024,0.19568969011306764
lead complex technical initiatives,1,0.596,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48918986,0.48918986,0.38470024,0.104489625,McKinsey_FutureOfWork_2023,0.19567594528198243
collaborate with programming staff,1,0.64,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4889816,0.4889816,0.43602046,0.05296114,McKinsey_FutureOfWork_2023,0.19559264183044434
understand technical advantages,1,1.0,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3555781,0.3555781,0.31999266,0.035585433,ONET_BrightOutlook_2024,0.19556795209646227
identify opportunities for brand differentiation.,1,0.651,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.27937573,0.27937573,0.22039862,0.058977112,WEF_FutureOfJobs_2023,0.19556301236152648
set industry standards,1,0.636,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.27933758,0.27933758,0.26436526,0.014972329,WEF_FutureOfJobs_2023,0.1955363094806671
reward and recognise people,1,0.633,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20581304,0.20581304,0.10698731,0.09882572,WEF_FutureOfJobs_2023,0.1955223836004734
develop work-flow charts,1,1.0,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35548735,0.35548735,0.3453666,0.0101207495,ONET_BrightOutlook_2024,0.19551804065704348
lead infrastructure and database incidents,1,0.656,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.39102823,0.39102823,0.24515978,0.14586845,ONET_BrightOutlook_2024,0.19551411271095276
ingest multimodal data,1,0.591,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.19540675,0.19540675,0.18481249,0.010594264,WEF_FutureOfJobs_2023,0.1954067498445511
analyze files,1,0.689,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.2170948,0.2170948,0.18135147,0.035743326,WEF_FutureOfJobs_2023,0.19538531452417374
unite around pursuit,1,0.633,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20566484,0.20566484,0.10198138,0.103683464,WEF_FutureOfJobs_2023,0.1953816011548042
launch career in built environment,1,0.633,ONET04,Game Development & Interactive Media,Moderate_Growth,0.6,0.32557294,0.32557294,0.31002825,0.015544683,ONET_BrightOutlook_2024,0.1953437626361847
being a key member in collaboration efforts,1,0.532,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48825967,0.48825967,0.3343586,0.15390107,McKinsey_FutureOfWork_2023,0.19530386924743653
transform data assets,1,0.922,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.21698453,0.21698453,0.20410594,0.012878582,WEF_FutureOfJobs_2023,0.1952860727906227
implement COTS security products,1,0.979,WEF03,Cybersecurity,Strong_Growth,0.9,0.2169559,0.2169559,0.20641829,0.010537609,WEF_FutureOfJobs_2023,0.19526031017303466
coordinate with technology team,1,0.665,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4881019,0.4881019,0.3314347,0.1566672,McKinsey_FutureOfWork_2023,0.19524075984954836
develop hybrid models,1,0.671,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.19524029,0.19524029,0.17311406,0.022126228,WEF_FutureOfJobs_2023,0.19524028897285461
creating engaging content,1,0.533,ONET04,Game Development & Interactive Media,Moderate_Growth,0.6,0.32532924,0.32532924,0.29761484,0.027714401,ONET_BrightOutlook_2024,0.19519754648208618
address common industry challenges,1,0.64,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.32529622,0.32529622,0.32122004,0.004076183,WEF_FutureOfJobs_2023,0.19517773389816284
"collaborate with Product, Engineering, Finance, and regional Market Operations teams",1,0.683,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48793644,0.48793644,0.38785964,0.100076795,McKinsey_FutureOfWork_2023,0.19517457485198975
influence industry,1,0.643,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.27879617,0.27879617,0.26893437,0.009861797,WEF_FutureOfJobs_2023,0.19515731632709502
work collaboratively with the team,1,0.664,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4878038,0.4878038,0.37322247,0.11458132,McKinsey_FutureOfWork_2023,0.1951215147972107
manage system solutions,1,0.644,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.39024174,0.39024174,0.3433615,0.046880245,ONET_BrightOutlook_2024,0.19512087106704712
translate business requirements into technical designs,1,1.0,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35472012,0.35472012,0.33223918,0.022480935,ONET_BrightOutlook_2024,0.19509606361389162
plan design from user experience perspective,1,0.7,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3546967,0.3546967,0.26000106,0.09469563,ONET_BrightOutlook_2024,0.19508318006992342
manage administrative tasks,2,0.6355,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.39012027,0.39012027,0.31139538,0.07872489,ONET_BrightOutlook_2024,0.195060133934021
construct services,1,0.68,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.22945416,0.22945416,0.2052559,0.024198264,WEF_FutureOfJobs_2023,0.1950360357761383
concept marketing materials,1,0.62,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35460973,0.35460973,0.279787,0.074822724,ONET_BrightOutlook_2024,0.1950353503227234
collaborate at work,1,0.632,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48749438,0.48749438,0.38164705,0.10584733,McKinsey_FutureOfWork_2023,0.1949977517127991
serve to advance agriculture,1,0.634,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.2293885,0.2293885,0.20394874,0.025439769,WEF_FutureOfJobs_2023,0.19498022943735122
lead complex documentation projects,1,1.0,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48743397,0.48743397,0.30097893,0.18645504,McKinsey_FutureOfWork_2023,0.19497358798980713
run production workloads over Postgres database,1,0.758,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.38985038,0.38985038,0.16286562,0.22698475,ONET_BrightOutlook_2024,0.1949251890182495
execute complex installation projects,1,0.68,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.22931114,0.22931114,0.22839452,0.0009166151,WEF_FutureOfJobs_2023,0.19491446763277054
use NoSQL,1,0.661,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.38982362,0.38982362,0.19611047,0.19371314,ONET_BrightOutlook_2024,0.19491180777549744
analyze structured content in open-world games,1,0.673,ONET04,Game Development & Interactive Media,Moderate_Growth,0.6,0.32479888,0.32479888,0.20973583,0.11506306,ONET_BrightOutlook_2024,0.19487932920455933
develop sequences,1,0.747,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20511232,0.20511232,0.20462671,0.00048561394,WEF_FutureOfJobs_2023,0.1948567070066929
connect,1,0.397,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.2051033,0.2051033,0.12669112,0.078412175,WEF_FutureOfJobs_2023,0.19484812840819357
leveraging market insights,1,0.563,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.19484626,0.19484626,0.19231169,0.0025345683,WEF_FutureOfJobs_2023,0.1948462575674057
seamless service delivery,1,0.496,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.22921719,0.22921719,0.21860945,0.010607734,WEF_FutureOfJobs_2023,0.1948346085846424
document the systems,1,0.659,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.38964194,0.38964194,0.33590743,0.05373451,ONET_BrightOutlook_2024,0.19482097029685974
implement monitoring frameworks,1,0.604,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.3896023,0.3896023,0.25773773,0.13186458,ONET_BrightOutlook_2024,0.19480115175247192
administer business activities,1,0.684,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.38959047,0.38959047,0.31484336,0.074747115,ONET_BrightOutlook_2024,0.19479523599147797
guide product development,1,0.631,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35414296,0.35414296,0.3523476,0.0017953515,ONET_BrightOutlook_2024,0.19477863013744356
ensure efficient use of space and resources,1,1.0,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.32453293,0.32453293,0.26757556,0.056957364,WEF_FutureOfJobs_2023,0.19471975564956664
integrate robotics,1,0.71,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.38942677,0.38942677,0.32347423,0.06595254,McKinsey_FutureOfWork_2023,0.19471338391304016
manage business operations,1,0.707,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.38942587,0.38942587,0.320309,0.06911686,ONET_BrightOutlook_2024,0.19471293687820435
provide advice on materials development,1,0.776,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3540025,0.3540025,0.31921256,0.03478995,ONET_BrightOutlook_2024,0.1947013780474663
validate data transformations,1,1.0,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.21632819,0.21632819,0.20479624,0.011531949,WEF_FutureOfJobs_2023,0.1946953698992729
lead implementation of 3 lines of defence model,1,0.655,WEF03,Cybersecurity,Strong_Growth,0.9,0.21631962,0.21631962,0.19501448,0.021305144,WEF_FutureOfJobs_2023,0.1946876585483551
travel to customer sites,1,0.63,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.27810958,0.27810958,0.22535817,0.052751407,WEF_FutureOfJobs_2023,0.19467670619487762
prioritise safety,1,0.641,WEF03,Cybersecurity,Strong_Growth,0.9,0.21629965,0.21629965,0.18551269,0.030786961,WEF_FutureOfJobs_2023,0.19466968774795532
collaborate with product or engineering-led team,1,0.666,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48658904,0.48658904,0.4162568,0.07033226,McKinsey_FutureOfWork_2023,0.19463561773300173
understand tools,1,0.595,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35388175,0.35388175,0.3460395,0.007842243,ONET_BrightOutlook_2024,0.19463496059179308
CI / CD workflows,1,0.483,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.38923424,0.38923424,0.36820504,0.021029204,McKinsey_FutureOfWork_2023,0.1946171224117279
take direction,2,0.762,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20485355,0.20485355,0.12999701,0.074856535,WEF_FutureOfJobs_2023,0.19461087211966513
collaborate closely with multidisciplinary teams,1,0.678,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4864731,0.4864731,0.40251148,0.083961636,McKinsey_FutureOfWork_2023,0.19458924531936647
Be part of exciting design events,1,0.585,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35378313,0.35378313,0.3216901,0.03209302,ONET_BrightOutlook_2024,0.1945807218551636
diagrammatic communication skills.,1,0.593,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48634797,0.48634797,0.33761653,0.14873144,McKinsey_FutureOfWork_2023,0.19453918933868408
prioritize multi-ecosystem initiatives,1,0.649,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.32422265,0.32422265,0.31007797,0.014144689,WEF_FutureOfJobs_2023,0.19453359246253968
understand guest needs,1,0.636,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.2047631,0.2047631,0.16845995,0.036303148,WEF_FutureOfJobs_2023,0.1945249445736408
work as an effective member of the ICT Technical Support Team,1,0.655,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4863078,0.4863078,0.2947758,0.19153199,McKinsey_FutureOfWork_2023,0.19452311992645266
manage services,2,0.833,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.3889697,0.3889697,0.2741437,0.114825994,ONET_BrightOutlook_2024,0.19448484480381012
identify commercial opportunities and risks,1,0.742,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.2777962,0.2777962,0.21500666,0.062789544,WEF_FutureOfJobs_2023,0.194457346200943
create dynamic platforms,1,0.675,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.2777824,0.2777824,0.25244164,0.025340766,WEF_FutureOfJobs_2023,0.19444768726825712
brief external artists,1,0.679,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20466003,0.20466003,0.19907144,0.005588591,WEF_FutureOfJobs_2023,0.19442702680826185
influence design and integration,1,0.61,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35347393,0.35347393,0.32211578,0.031358153,ONET_BrightOutlook_2024,0.1944106623530388
design relational databases,1,0.735,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.38881016,0.38881016,0.34465626,0.0441539,ONET_BrightOutlook_2024,0.19440507888793945
Lead capacity planning,1,0.533,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20463182,0.20463182,0.19439106,0.010240763,WEF_FutureOfJobs_2023,0.1944002293050289
shape technology landscape,1,0.652,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3534135,0.3534135,0.2803809,0.07303259,ONET_BrightOutlook_2024,0.19437742084264756
ensure scalability across regions,1,0.639,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.22866774,0.22866774,0.17972597,0.04894176,WEF_FutureOfJobs_2023,0.19436757564544677
socially,1,0.252,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20456076,0.20456076,0.18748361,0.017077148,WEF_FutureOfJobs_2023,0.19433271884918213
working collaboratively,2,0.439,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48577985,0.48577985,0.36656383,0.119216025,McKinsey_FutureOfWork_2023,0.19431194067001345
communicate about oneself,1,0.64,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20453742,0.20453742,0.17005803,0.034479395,WEF_FutureOfJobs_2023,0.19431055039167403
Monitor production applications in,1,0.626,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.38861924,0.38861924,0.26007316,0.12854609,ONET_BrightOutlook_2024,0.19430962204933167
collaborate with technologists,1,0.618,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48577276,0.48577276,0.45241705,0.033355713,McKinsey_FutureOfWork_2023,0.19430910348892214
participate in technical planning,1,1.0,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4857569,0.4857569,0.34796837,0.13778853,McKinsey_FutureOfWork_2023,0.19430276155471804
products connect,1,0.584,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20450853,0.20450853,0.18826613,0.0162424,WEF_FutureOfJobs_2023,0.19428310170769691
collaborate with Senior Cyber Specialist,1,0.671,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48569366,0.48569366,0.39447755,0.09121612,McKinsey_FutureOfWork_2023,0.19427746534347534
turn priorities into actionable initiatives,1,0.676,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20445508,0.20445508,0.19247697,0.011978105,WEF_FutureOfJobs_2023,0.1942323237657547
produce electrical drawings/models,1,1.0,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35306874,0.35306874,0.26624787,0.08682087,ONET_BrightOutlook_2024,0.1941878065466881
break down complexity,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20438537,0.20438537,0.18418184,0.02020353,WEF_FutureOfJobs_2023,0.19416610151529312
commit to DEI,1,0.624,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.2284137,0.2284137,0.19892198,0.029491723,WEF_FutureOfJobs_2023,0.19415164589881898
engage with cross-functional stakeholders,1,0.719,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48530513,0.48530513,0.22778733,0.2575178,McKinsey_FutureOfWork_2023,0.194122052192688
collaborating,4,0.43174999999999997,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.48528597,0.48528597,0.41569358,0.06959239,McKinsey_FutureOfWork_2023,0.19411438703536987
perform advanced Darktrace Autonomous Response enablement,1,0.641,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20432542,0.20432542,0.20181005,0.0025153756,WEF_FutureOfJobs_2023,0.1941091515123844
deliver immersive combat experiences,1,0.573,ONET04,Game Development & Interactive Media,Moderate_Growth,0.6,0.32349193,0.32349193,0.28319135,0.040300578,ONET_BrightOutlook_2024,0.19409515857696533
administer containers,1,0.686,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.22833344,0.22833344,0.2165816,0.0117518455,WEF_FutureOfJobs_2023,0.1940834268927574
deliver holistic designs,1,1.0,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35287368,0.35287368,0.30218676,0.050686926,ONET_BrightOutlook_2024,0.194080525636673
solve unsolvable problems,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.20425652,0.20425652,0.17984341,0.024413109,WEF_FutureOfJobs_2023,0.19404369369149208
enable safe data sharing,1,0.584,WEF03,Cybersecurity,Strong_Growth,0.9,0.2156027,0.2156027,0.1813879,0.034214795,WEF_FutureOfJobs_2023,0.19404242634773256
build foundational data infrastructure,1,0.681,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.3880621,0.3880621,0.36675864,0.021303445,ONET_BrightOutlook_2024,0.19403104484081268
