knowledge,freq,mean_confidence,confidence_score,job_id,source,best_future_domain,trend_label,trend_score,similarity,future_weight,job_text,review_id,human_valid,human_notes,reviewer_id
Instrumentation & Control (I&C) engineering,1,0.75,0.75,in-3c2433bacd2dab1d,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.31881878,0.1753503277897835,"We’re bridging two worlds, moving towards more sustainable energy sources, while helping to provide the energy, chemicals and resources needed now. Senior Instrumentation & Control (I &C) Engineer Denver, CO Purpose of the Role As a Senior Instrumentation & Control (I &C) Engineer , you will provide expert I &C engineering services to Worley and its customers.",know_c7ded623ccb7,,,
Investment,1,0.75,0.75,in-6e8e82d0e28d7000,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.22316879,0.1562181532382965,We are looking for a Senior Policy Analyst to join the Investment and Funding team.,know_b7380bf31920,,,
commercial sector,1,0.75,0.75,in-7fd767baaf0bccff,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.34725463,0.2430782437324523,"Further to this we are keen to hear from you if you have the ability to: Assess business and financial performance and/or to undertake complex data analysis. Identify strategic risks and options for mitigation. Have commercial and/or public sector experience. Clearly communicate complex issues both orally and in writing. Develop credible, respected relationships with diverse stakeholders at a range of levels of seniority. Be flexible and respond to changes in priorities and demands for work, and",know_69ef941a0aa7,,,
visual design,1,0.75,0.75,in-df6f85e26c061439,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.4873602,0.2680481150746345,"Our multi -year vision is to build a comprehensive, single source of truth finance data platform for AWS that automates repetitive data sourcing, data validation, and reporting processes to free finance users to spend more time performing complex analyses, supporting business decisions, and telling the story.BASIC QUALIFICATIONS ------------------------ 3 + years of delivering design solutions as a UX designer or interaction designer experience Have an available online portfolio PREFERRED QUALIF",know_ef4307db49df,,,
OPR3,1,0.75,0.75,in-312ae5116abe958d,LLM,Game Development & Interactive Media,Moderate_Growth,0.6,0.19370723,0.1162243366241455,"Click here to view the position description. About the Service OPR3 is a 26 -bedded Acute Medical Ward and part of the Medicine, ED and OPR Directorate at Health NZ Waikato.",know_e027b043df2b,,,
"vehicle delivery management,",1,0.435,0.435,in-965f58ca3e59d3f2,BERT (standalone),Process Automation & RPA,Moderate_Growth,0.5,0.2045029,0.1022514477372169,"Our diverse team shares an innate curiosity for the world, a willingness to see things differently, and a passion for getting things done.",know_eea7430859a7,,,
RabbitMQ,1,0.845,0.845,in-4d39d1108694485c,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.20312716,0.1015635803341865,"Strong problem -solving skills and attention to detail. Preferred Qualifications: Experience with message brokers (e.g., Kafka, RabbitMQ).",know_7eaa993723e5,,,
Project coordination,1,0.75,0.75,in-0b1202bf3556f0ec,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.39370838,0.1574833512306213,"Manage procurement and tendering of design -related services. What you'll bring: Design & Technical Expertise: Strong analytical, design, technical and commercial skills, with excellent attention to detail and understanding of project constraints. Leadership Experience: Proven ability to lead, motivate, inspire and manage staff to achieve demanding objectives. Stakeholder & Communication Skills: Strong collaboration, negotiation, influencing, presentation, and networking capabilities. Project Co",know_92897ca73689,,,
promotions,1,0.75,0.75,in-fc6231d646f9e9a1,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.20778354,0.1454484745860099,"Our comprehensive Total Rewards package includes support for flexible working and career development, and with FlexEY you can select benefits that suit your needs, covering holidays, health and well -being, insurance, savings and a wide range of discounts, offers and promotions.",know_ea6aeb050f87,,,
Block products,1,0.75,0.75,in-2884ab8cc272fed2,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.12469018,0.0872831277549266,"You will be instrumental in shaping the platform's capabilities to manage BTC liquidity, ensuring Block products can support customer needs with unparalleled efficiency and simplicity.",know_130b96de7506,,,
multi-disciplinary engineering,1,0.75,0.75,in-6da118f81ed64a47,LLM,Software Development & Engineering,Moderate_Growth,0.65,0.33343846,0.2167349964380264,"In Europe, Arup provides multi -disciplinary engineering solutions, advisory and professional consulting services from 36 offices across 12 countries.",know_b1c79beb697c,,,
User experiences,1,0.75,0.75,in-bf0e9f6211607d23,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.44720984,0.2459654092788696,"You’ll lead with creativity and systems thinking, leverage design systems, and explore emerging technologies to drive innovation and craft user experiences that delight and inspire.",know_bcfe29bf80f3,,,
product requirements,1,0.75,0.75,in-3974672cef9dd264,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.29794335,0.1638688445091247,"You will be responsible for researching, designing, and prototyping new user experiences based on product requirements.",know_44c2a37ecadf,,,
system design,2,0.8325,0.8325,in-22edc9e9cdcf8599,BERT+LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.29742667,0.1635846689343452,"We keep our networks up and running, ensuring our users have the best and fastest experience possible.Responsibilities -------------------- Improve the lifecycle of services from inception and design, through to deployment, operation and refinement. Support services before they go live through activities such as system design consulting, developing software platforms and frameworks, capacity planning and launch reviews. Maintain services once they are live by monitoring availability, latency and",know_4d0a30b00483,,,
project governance,1,0.75,0.75,in-1f4ca5ad774310ff,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.30447558,0.1217902302742004,"You’ll play a vital role in ensuring robust project governance, financial control, and effective reporting across a dynamic portfolio of technology projects.",know_43f076ebeab8,,,
retail savings,1,0.75,0.75,in-833275ea7e5e5049,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.18480502,0.129363514482975,"CFMWS employees deliver programs and services including recreation, sports and fitness programs, customized financial services, retail services, access to retail savings and discounts and offers family support and organizes charity events.",know_7cb97076ecf1,,,
JSON,2,0.847,0.847,in-ea5fe0c67dbb09a7,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.15829466,0.0791473314166069,"Requirements Bachelor’s degree in computer science or equivalent. Minimum 3 + years of Proven experience as a full stack developer or similar role. Strong experience in back -end languages Java, Spring Boot. Strong experience in JavaScript frameworks such as ReactJS and Node.js. Strong Experience in designing and implementing REST based micro services using Spring Boot/Node.js. Knowledge of multiple front -end languages and libraries (HTML5/ CSS3, JavaScript, JSON, jQuery) Experience in developi",know_0ecd11c1d7a2,,,
Runners.,1,0.292,0.292,in-68c8bc8b4022b6bd,BERT (standalone),Database & Systems Administration,Moderate_Growth,0.5,0.09842036,0.0492101795971393,"We don’t expect you to know them all but experience or exposure with some of these (or equivalents) will set you up for success in this team; Backend: .NET, C #, or willingness to learn Frontend: React.js, Next.js, Angular.js Architecture: Deep expertise in Microservices, GraphQL (Apollo), RESTful APIs, and domain -driven design. CI/CD: GitHub Actions, Jenkins, Bitbucket Pipelines, Gitlab Runners. Cloud knowledge with AWS Containerization using docker or kubernetes GenAI Studio(Copilot/RooCode/C",know_c5eee4e6ab68,,,
Talend,1,0.75,0.75,in-08b13571c4196e80,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.15378354,0.0845809496939182,"In this role you will: Analyse and estimate effort for new scope and requirements Design and development ETL solutions on multiple complex initiatives. Stay abreast of modern technologies and best practices, and recommend introduction of new technology and processes Act as the Subject Matter Expert and manage admin functions for ETL and Talend Investigate failures, perform root cause analysis, and implement fixes; utilize internal defect tracking tool to create detailed, high quality error repor",know_ae8171792265,,,
CUDA,1,0.851,0.851,in-b608315da704076b,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.17968823,0.0898441150784492,"We are using an API -first architecture, and youll need a deep understanding of scientific software development, a user -centric mindset, and proficiency in Python, C + +, CUDA and relevant cheminformatics toolkits.",know_a33b7755e5f9,,,
ELT processes.,1,0.537,0.537,in-276ee08934e98ebb,BERT (standalone),Process Automation & RPA,Moderate_Growth,0.5,0.33284843,0.1664242148399353,"Required Skills & Experience Proficiency in SQL and experience with modern data transformation tools (e.g., dbt, Coalesce). Experience with cloud platforms like Snowflake, BigQuery, Fabric, or Databricks. Advanced SQL skills (5 + years), including expertise in complex queries, stored procedures, and managing views. Strong understanding of ETL/ELT processes. Ability to build compelling data visualizations and dashboards using Tableau, Power BI, or Looker. Excellent communication skills for explai",know_a1e0c5509e31,,,
Runtime Manager,1,0.843,0.843,in-94c8e798911e3470,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.31528872,0.1576443612575531,"PREFERRED EDUCATION: Bachelor’s degree in computer science, Engineering, or a related field. 5 + years of software development experience, with at least 3 years of hands -on MuleSoft development. Strong knowledge of MuleSoft Anypoint Platform, including Anypoint Studio, API Manager, Runtime Manager. Proficiency in RAML/OpenAPI, DataWeave (Mule Expression Language), and MUnit testing framework. Experience with RESTful APIs, JSON, XML, JMS, and message queues. Familiarity with CI/CD tools (e.g., J",know_f66774ce66a2,,,
BHS system operations,1,0.844,0.844,in-42b55a983bf16945,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.33781308,0.1689065396785736,"Ignition, FactoryTalkView) Experience implementing real -time solutions Familiarity with IT/Networking and database application Experience with BHS system operations Ability to read electrical schematics Other Job Information (if applicable): We appreciate your interest in joining our team. Please note that: (a) all applicants must be legally entitled to work in the country where the position is located; and (b) some roles require eligibility for government security clearances or site access, wh",know_580d7f924e34,,,
Direct Marketing,1,0.75,0.75,in-5906aa7cd05b4ccd,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.3000037,0.2100025951862335,"We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace. Required Skills: Agricultural Policy, Automatic Identification, Communication, Consumer Complaint, Customer Collaborations, Direct Marketing, Market Development, Marketing Campaign Development, Marketing Communications (MarCom), Marketing Initiatives, Marketing Management, Pricing Strategies, Product Management, Segmentation Strategy, Technology Platforms, Veterinary TechnologyPreferred Skills: Curre",know_e32f3b9efd38,,,
.Net Core,1,0.844,0.844,in-5954110f7af52605,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.2146494,0.1073246970772743,"What you’ll bring Bachelor’s degree in Computer Science, Engineering, Technology or a related discipline. Experience with data platforms like Microsoft Fabric 5 + years of experience in Programming, with a minimum of 2 years in a large IT environment. Expert knowledge across current software toolsets such as C #/.Net, C #/.Net Core, NodeJS Experience building software using patterns like Event Sourcing, Domain Driven Design, Service Oriented Architectures, and Hexagonal/Onion/Clean architecture ",know_cebf32b763b2,,,
gaming,1,0.75,0.75,in-6d7865a492e1980f,LLM,Game Development & Interactive Media,Moderate_Growth,0.6,0.47756076,0.2865364551544189,Joining Entity at this stage is a rare opportunity to help shape the future of gaming. About the role We’re looking for an experienced Head of Developer Partnerships to lead and scale how we engage with game developers worldwide.,know_967ef2eb3463,,,
regulated industries,1,0.827,0.827,in-11c4afe5bb429f5d,BERT+LLM,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.29999202,0.1799952149391174,"Desirable skills you’ve got up your sleeve It would be great if you also have some of the following skills: A passion for and knowledge of casino games and sports betting apps. Experience in iGaming, regulated industries, or working with fast -paced digital products.",know_935d3795614e,,,
hardware products,1,0.75,0.75,in-cd4536bf094c8252,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.32442927,0.1784361004829407,You will collaborate closely with industrial designers to deliver best -in -class hardware products.,know_0d085c95bfce,,,
data-sharing strategies,1,0.75,0.75,in-56a209de52d121d7,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.28058842,0.1402942091226577,Present and ideate on data -sharing strategies and integration semantics for mobile applications. d.,know_febbc096981f,,,
scale,1,0.384,0.384,in-18f1331162449a3f,BERT (standalone),UX/UI & Digital Design,Moderate_Growth,0.55,0.1062902,0.0584596093744039,"Purview, Alation, Collibra) Background in SaaS or scale -up environments with KPIs like Monthly Recurring Revenue (MRR), Churn Rate, Customer Acquisition Cost (CAC), and Customer Lifetime Value (CLTV) What we offer A competitive salary - let's discuss it Hybrid working Group Personal Pension - up to 12% employer contribution Generous annual bonus scheme between 6% and 24% 25 days annual leave plus bank holidays, and a holiday buy and sell scheme An array of health and wellbeing benefits, includi",know_0cb47aeb6e5f,,,
month-end close process,1,0.75,0.75,in-a3fccd73c46d1dc9,LLM,Process Automation & RPA,Moderate_Growth,0.5,0.18577844,0.0928892195224762,"We move fast, collaborate closely, and deliver high -impact financial insights and controls across the business. What you’ll do Reporting to the VP of Finance & Strategic Governance, you will be responsible for a wide range of accounting duties that support day -to -day operations and the month -end close process.",know_a67a7e1ec810,,,
XML,1,0.846,0.846,in-94c8e798911e3470,BERT+LLM,Software Development & Engineering,Moderate_Growth,0.65,0.18693426,0.1215072706341743,"PREFERRED EDUCATION: Bachelor’s degree in computer science, Engineering, or a related field. 5 + years of software development experience, with at least 3 years of hands -on MuleSoft development. Strong knowledge of MuleSoft Anypoint Platform, including Anypoint Studio, API Manager, Runtime Manager. Proficiency in RAML/OpenAPI, DataWeave (Mule Expression Language), and MUnit testing framework. Experience with RESTful APIs, JSON, XML, JMS, and message queues. Familiarity with CI/CD tools (e.g., J",know_3501bb093d36,,,
innovation,3,0.75,0.75,in-1298c0a075adfe4e,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.2996148,0.1647881329059601,"Our global team is made by 22,000 diverse and brilliant people, passionate about insights, innovation and committed to deliver the best products to our customers.",know_d3440b69126d,,,
HVAC,1,0.75,0.75,in-0cb1ebadc05ba17e,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.22175008,0.1108750402927398,"This position is responsible for overseeing the daily operation and regulation of key building systems and equipment, including heating, ventilation and air conditioning (HVAC), steam and hydronic heating, computerized automation systems and other critical infrastructure.",know_6ace317b96ae,,,
Identity governance,1,0.75,0.75,in-ec5e0638c86de1ac,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.16191782,0.0647671282291412,"IT Security Analyst Posting Start Date: 12/1/25 Job Location (Short): Chicago, Illinois, USA, 60631 | Milwaukee, Wisconsin, USA, 53204 -2941 Requisition ID: 34596 Onsite or Remote: Onsite Position Join Komatsu and Be Part of Something Big! Job Overview ---------------- The IT Security Analyst role at Komatsu, based in Milwaukee or Chicago, is responsible for enhancing and protecting the company’s global security posture through hands -on participation in security monitoring, incident response, v",know_965a3b247a68,,,
external platform,1,0.75,0.75,in-d3049bbf5736b160,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.29998687,0.2099908083677291,"Represent Dropbox in the external platform and AI productivity communities through talks, papers, and open -source contributions where appropriate.",know_02135463b1a9,,,
technology projects,1,0.75,0.75,in-1f4ca5ad774310ff,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.46558538,0.1862341523170471,"You’ll play a vital role in ensuring robust project governance, financial control, and effective reporting across a dynamic portfolio of technology projects.",know_b94a87f7725a,,,
process gaps,1,0.75,0.75,in-a61c1082390cb772,LLM,Process Automation & RPA,Moderate_Growth,0.5,0.251744,0.1258720010519027,"Operational Coordination & Compliance Liaise with Legal, Compliance, Finance, and Tech to support deal execution, documentation review, and internal approvals. Draft and manage legal documents such as SAFTs, ensuring review cycles and audit readiness. Identify process gaps in BD ops and recommend scalable, audit -aligned improvements. 4 .",know_01072c164155,,,
KDP,1,0.75,0.75,in-75c9b1e808efbcc2,LLM,Process Automation & RPA,Moderate_Growth,0.5,0.15996109,0.079980544745922,"Quel que soit votre domaine d'expertise, chez KDP, vous pouvez faire partie d'une équipe fière de ses marques, de ses partenariats, de son innovation et de sa croissance.",know_385f021ef690,,,
hybrid).,1,0.419,0.419,in-9ea3874df4d182b6,BERT (standalone),UX/UI & Digital Design,Moderate_Growth,0.55,0.120247066,0.066135886311531,"For this team, MasterCard is seeking a Lead Engineer who is passionate about implementation of Data Engineering and its use in AI/ML across platform (on premise, on cloud, hybrid).",know_c23ccf08be1a,,,
interoperability,1,0.732,0.732,in-f9b044cec549cb2e,BERT+LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.33738303,0.1349532127380371,"Responsibilities include coding, testing, and deploying applications with a focus on secure data transmission and interoperability with military systems and cloud/on -prem database solutions.",know_590e7dc42b64,,,
CitrineOS,1,0.75,0.75,in-de5cb81baa037707,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.09827379,0.049136895686388,"With deep expertise in OCPP and OCPI standards and more than a decade of delivering custom solutions for some of the world’s largest networks, we are the strategic technology partner powering the next generation of EV -charging innovation. Who You Are You are a Full -Stack Software Engineer who enjoys designing and developing web applications across both client engagements and our own EV -charging products, including CitrineOS and TopazEV.",know_d37a9fa20044,,,
Technical Architecture Document,1,0.75,0.75,in-deb73d430b786346,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.34623283,0.1904280573129654,"Infrastructure Design Services' primary deliverable is the TAD (Technical Architecture Document) which details the infrastructure design for the application, platform or system.",know_b5204949384a,,,
Lightning UI components,1,0.82,0.82,in-3a39cfdef1dc8c0a,BERT+LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.273938,0.1506659001111984,"JS, or JavaScript. Experience with Salesforce DX, SFDX CLI, CI/CD tooling (GitHub/Bitbucket, Splunk/Sumologic) and test automation frameworks. Knowledge and understanding building APEX code/classes, triggers, integrations, Visualforce/ Lightning UI components. Experience in design and implementation of real -time and batch integration with Salesforce and other systems using REST/Bulk APIs. Experience with Agile development environments, secure coding practices and security implementations. Sales",know_54f778951bdf,,,
Arena Video Routing,1,0.75,0.75,in-342b32d766851b29,LLM,Game Development & Interactive Media,Moderate_Growth,0.6,0.23631708,0.1417902499437332,"This role will pay an annual salary of $70,000 -$80,000 Benefits for Full -Time roles: Health, Dental and Vision Insurance, 401(k) Savings Plan, 401(k) matching, and Paid Time Off (vacation days, sick days, and 11 holidays) This position will remain open until February 20, 2026 . Responsibilities: Serve as technical point person for corporate events, Internal/External client meetings, & ancillary events Arena Video Routing and Production Control Room systems Set up and testing of event -day AV e",know_e6659fff4e9c,,,
Product Launches,1,0.75,0.75,in-acc05f25dcb874c4,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.22598025,0.1242891386151313,Product Launches & GTM Strategy Drive integrated go -to -market strategies for new products and major feature releases — from positioning and pricing to campaign enablement and measurement.,know_06ed4e65a48a,,,
Salesforce DX,1,0.763,0.763,in-3a39cfdef1dc8c0a,BERT+LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.43551862,0.239535242319107,"JS, or JavaScript. Experience with Salesforce DX, SFDX CLI, CI/CD tooling (GitHub/Bitbucket, Splunk/Sumologic) and test automation frameworks. Knowledge and understanding building APEX code/classes, triggers, integrations, Visualforce/ Lightning UI components. Experience in design and implementation of real -time and batch integration with Salesforce and other systems using REST/Bulk APIs. Experience with Agile development environments, secure coding practices and security implementations. Sales",know_b4f53b59e1b8,,,
Corporate clients,1,0.75,0.75,in-7df8014e102f91c2,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.39222407,0.1568896293640136,"Our clients are self -employed individuals, professionals, company directors, corporate clients and financial advisors.",know_6b49e7ceb026,,,
database infrastructure,1,0.75,0.75,in-cd349d1d935d2e5e,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.52013266,0.2600663304328918,"In this critical position, you will manage and optimise our database infrastructure, ensuring data is stored accurately, readily accessible, and protected against loss or unauthorised access.",know_46b8df0d39e2,,,
Operations Management,1,0.75,0.75,in-6482dbbaf700f094,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.39354044,0.1967702209949493,"We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results. Opportunity Overview: Quantifi Photonics is looking for Senior Operations Manager to join the team in our Auckland NZ office.",know_62c2ba9d720f,,,
ADVANCE programme,1,0.75,0.75,in-00c0b91f9c9cb324,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.29370034,0.1174801349639892,"Take advantage of career development opportunities, our flexible hybrid working model to ensure a work -life balance that suits your lifestyle, technical practice networks, AECOM University, and volunteering days. Here is what you will get from us! On the job support and learning When a graduate starts at AECOM, we pair them with a senior member of the team who will guide and mentor them through their initial period working on live projects and business development tasks, to support with any tec",know_363e6a7dfded,,,
ETC,1,0.423,0.423,in-eb099eb21be72a2b,BERT (standalone),Database & Systems Administration,Moderate_Growth,0.5,0.167372,0.0836860015988349,"You will collaborate with cross -functional teams to deliver high -quality technical support and ensure that all audio/visual systems are installed, configured, and maintained to the highest standards. Role and Responsibilities: Ability to operate and troubleshoot most AV equipment and systems, like: · Operating manual and computer -controlled lighting systems and consoles (e.g., ETC GIO @5 ) during rehearsals and performances, taking cues from the event producers. · Set up and manage switching,",know_602bcb15b1e1,,,
content,2,0.6485000000000001,0.6485000000000001,in-51f52aa9e15e8653,BERT (standalone),Game Development & Interactive Media,Moderate_Growth,0.6,0.23496705,0.1409802317619323,"Familiarity with data visualization / reporting tools (ex: Looker, Tableau). + Comfort working cross -functionally and communicating with both technical and non -technical stakeholders. + Self -starter mindset with a bias toward execution and accountability. + Experience with IP, royalty -based, or content -driven businesses is a plus.",know_9a0364b9e99b,,,
Software requirements,1,0.75,0.75,in-601c49b2a52c9d10,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.3543565,0.1771782487630844,We bring together people and resources to build the framework that powers our nation. IT BUSINESS ANALYST - PRODUCT OWNER The IT Business Analyst & Product Owner will work as a liaison between IT and the Business areas to understand and translate business processes into system/software requirements and designs that support Operations teams.,know_7ddb33edf227,,,
airworthiness authorities,1,0.775,0.775,in-4250b91d85b051d1,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.15772882,0.0788644105195999,"Eng. or equivalent.Ambitious, results -driven, and able to work autonomously with little supervision.Organized, detail -oriented, a team player, self -motivated, customer -focused, and able to work under pressure.Proactive, adaptable, flexible, and innovative with a strong sense of accountability and integrity.Experience with airworthiness authorities or their authorized engineers is an asset. Any other combination of schooling and experience deemed equivalent may be considered. Benefits of work",know_7646571501f1,,,
animation,2,0.794,0.794,in-0638af7971a65d74,BERT+LLM,Game Development & Interactive Media,Moderate_Growth,0.6,0.28930733,0.1735843956470489,"Optimize and establish processes and workflows to ensure smooth -running production operations. What You’ll Bring --------------------- 5 + years of experience in motion design, animation, or 3D visual design (a blend of agency and in -house preferred).",know_6f1c25ed1523,,,
Rail Civils,1,0.75,0.75,in-59102c073373b270,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.16313636,0.089724999666214,"We have market coverage in the UK, Republic of Ireland, North America, Australasia and the Middle Eastern transport sectors with over 40 live projects in our portfolio operating across the Rail Systems, Rail Civils and Rail Transport Authority clients. Why You’ll Thrive Here: We’re proud of our award -winning reputation and the trust our clients place in us.",know_34974a5286e0,,,
joint protocols,1,0.75,0.75,in-f212c6ad771f68f6,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.2379324,0.0951729595661163,"Reviews and evaluates new or improved business and management practices. Coordinates development and ongoing maintenance and evaluation of joint protocols and other SSCC/CPS procedures. Reviews, develops and maintains Standard Operating Procedures for Community -Based Care.",know_3b1ebea0f65d,,,
API Manager,1,0.846,0.846,in-94c8e798911e3470,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.23065539,0.1153276935219764,"PREFERRED EDUCATION: Bachelor’s degree in computer science, Engineering, or a related field. 5 + years of software development experience, with at least 3 years of hands -on MuleSoft development. Strong knowledge of MuleSoft Anypoint Platform, including Anypoint Studio, API Manager, Runtime Manager. Proficiency in RAML/OpenAPI, DataWeave (Mule Expression Language), and MUnit testing framework. Experience with RESTful APIs, JSON, XML, JMS, and message queues. Familiarity with CI/CD tools (e.g., J",know_b679d93d161b,,,
voice products,1,0.75,0.75,in-bc3b380ce792d5ca,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.18924652,0.104085586220026,"Experience with real -time dashboards, analytics tools, voice or AI -related products, or prior work in fast -paced startup environments would be highly valuable but not required. To Apply Please send your CV/resume, portfolio (Figma, Behance, Dribbble or PDF) and a brief cover letter to careers@amplifirm.com with the subject line “UI/UX Designer – [Your Name]”.",know_22b9202bd71f,,,
technical knowledge,1,0.75,0.75,in-80759602520c230d,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.4057865,0.1623146057128906,"Review and authorize work done by direct reports. Team Leadership and Development: + Oversee programs for technical competency and quality and monitor technical competency of teams. + Ensure team member adherence to company processes, generally accepted engineering and design practices, regulatory requirements, and customer specifications. + Support global standardization and use of drawing and document templates. + Assure the understanding of technical knowledge, legal requirements, and custome",know_0280b156c999,,,
EventStore,1,0.75,0.75,in-5954110f7af52605,LLM,Database & Systems Administration,Moderate_Growth,0.5,0.17871955,0.089359775185585,"What you’ll bring Bachelor’s degree in Computer Science, Engineering, Technology or a related discipline. Experience with data platforms like Microsoft Fabric 5 + years of experience in Programming, with a minimum of 2 years in a large IT environment. Expert knowledge across current software toolsets such as C #/.Net, C #/.Net Core, NodeJS Experience building software using patterns like Event Sourcing, Domain Driven Design, Service Oriented Architectures, and Hexagonal/Onion/Clean architecture ",know_4f812b13f25e,,,
construction drawings,1,0.789,0.789,in-dcfe1997ded20aef,BERT+LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.3392921,0.186610659956932,"Qualifications & Requirements: Experience or exposure to CSA construction management, design coordination, or site execution. Understanding of construction drawings, specifications, and quality assurance related to civil, structural, and architectural works. Willingness to broaden expertise through ongoing learning about other engineering disciplines (MEP, process, etc.). Proficiency in the Microsoft Office suite (and familiarity with tools such as AutoCAD or Revit is advantageous). Strong oral ",know_545045a322ac,,,
ascendance,1,0.75,0.75,in-8309226b8eb92e80,LLM,Game Development & Interactive Media,Moderate_Growth,0.6,0.1004038,0.0602422803640365,"Nous nous engageons à favoriser un environnement inclusif et innovateur et à célébrer nos employés à travers l'âge, l'éthinicité, la couleur, l'ascendance, l'origine nationale, la religion, le handicap, le sexe, l'identité ou l'expression de genre, l'orientation sexuelle ou tout autre statut protégé conformément à la loi applicable.",know_209a747d5123,,,
power supply sector,1,0.75,0.75,in-70fd1b405f4402fc,LLM,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.2833256,0.169995367527008,You can be expected to lead or support the following projects: Design and integrate schemes to ensure sufficient capacity and investment in Singapore’s power supply sector. Transform Singapore’s electricity market structure to better integrate renewables and flexibility products (batteries and demand response market reforms that better integrate renewables and new business models alongside existing resources.,know_92d72a3e6936,,,
Stage 2 Capital,1,0.75,0.75,in-e626008e0e146e62,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.14484121,0.1013888463377952,"We’re backed by top -tier investors, including FirstMark, Stage 2 Capital, Inovia, and Basis Set Ventures.",know_4e240f4e7b30,,,
digital learning platform,1,0.75,0.75,in-731fc34f48c31ddd,LLM,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.3541566,0.2479096293449401,"Specific hours and days onsite will be determined by business needs and are subject to change with appropriate advanced notice. + We may conduct candidate interviews virtually (phone and/or via Zoom) and/or in -person for this role + As part of our evaluation, candidates are required to complete a Take Home Assignment after clearing Technical Recruiter Screen.",know_dda5f36986c3,,,
Partnership solutions,1,0.75,0.75,in-57d70c0fd3accddf,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.36488366,0.1459534645080566,"Scope and Impact: Reports into the Global Head of Partners and member of APAC SAM Leadership Team Manage Asia Partners organization to drive increased revenue growth across all Redistribution & Co -sell partnerships in region Oversees Asia Account Management team of ~6 -7 account managers Partner and align closely with Product Leadership across RI, FTSE and D &A to devise strategies and accountability for successful partnerships Lead execution of Asia Partners strategy to maximize current and fu",know_1edb84e89838,,,
Technical Consulting,1,0.75,0.75,in-66f4c39e32e33eee,LLM,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.49547952,0.1981918096542358,"This model supports real -time problem -solving, stronger relationships, and the kind of precision that drives great outcomes. Job Description Your Career The Technical Consulting Director is a unique services role where you will be part of a collaborative team of innovators sharing their knowledge and expertise to progress the goal of securing Unit 42’s clients.",know_d049b80aea1a,,,
